sample ID,Impurity type,EBF,TCF,TNF,LMAN2,RARG,SMAD3B2,ZAP70_CpG3,ZAP70_SHORE,CLL13R Imp,CLL15R Imp,CLL1R#3 Imp,CLL5R Imp,CLL6R Imp,CLL9F Imp,Myeloid1R#2 Imp,Myeloid4F#2 Imp,Myeloid6R Imp,T/NK1R Imp,T/NK4F Imp,T/NK5F Imp
0488 FT,Non-CLL PBMC,0.9263935,0.758767667,0.63905,0.4071365,0.181451,0.132765,0.430106,0.483435333,0,0,0,0,0,0,0.94903565,1,0.8980713,0.4350156,0.5333868,0.520651
0635 FT,Non-CLL PBMC,0.9489265,0.779991,0.6607185,0.3924195,0.2031265,0.147382667,0.441713,0.479140667,0,0,0,0,0,0,0.882624425,1,0.76524885,0.3026197,0.4919342,0.487029
0672 FT,Non-CLL PBMC,0.8324035,0.700320333,0.3867035,0.4579755,0.31247,0.284898667,0.282471,0.285982667,0,0.0725472,0.07234288,0.1281588,0.01972,0,0.91978353,1,1,0.5476892,0.6343436,0.644494
0849 FT,Non-CLL PBMC,0.899598,0.756481,0.4624005,0.40957725,0.197778,0.219579333,0.422344,0.408199,0,0,0,0,0.00617375,0,0.9054293,1,0.8108586,0.4627056,0.5614932,0.497429
1156 FT,Non-CLL PBMC,0.9268935,0.764705667,0.536071,0.3715455,0.223772,0.163109667,0.503459,0.549664333,0,0,0,0,0,0,0.6873833,0.850864,0.5239026,0.3153389,0.432626,0.370308
1304 FT,Non-CLL PBMC,0.860443,0.787973,0.5847665,0.41223075,0.525406,0.492073333,0.348782,0.307014667,0,0,0,0.1405575,0.00584875,0,0.98820455,1,0.9764091,0.7194179,0.758028,0.679384
1304 unsort,Non-CLL PBMC,0.88658,0.757617667,0.588904,0.41837475,0.5134945,0.433155667,0.301996,0.340956,0,0.0480024,0.1331769,0.1500036,0.0722825,0.01641125,1,1,1,0.6301521,0.7423256,0.641075
1335 FT,Non-CLL PBMC,0.927594,0.791832,0.52709,0.456279,0.2336125,0.159567333,0.383769,0.442539,0,0,0,0,0.0430525,0,1,1,1,0.4722398,0.5679122,0.6117
1439 FT,Non-CLL PBMC,0.908594,0.770661333,0.4924735,0.37487875,0.3005145,0.244515,0.422606,0.444851667,0,0.0469944,0,0.03833575,0,0,0.84390484,1,0.8100189,0.5064857,0.3890118,0.498515
1585 FT,Non-CLL PBMC,0.9382035,0.773906333,0.517289,0.36107425,0.250999,0.204070667,0.475398,0.520391667,0,0.0298458,0,0.00481375,0,0,0.7619946,0.9547104,0.5692788,0.3576656,0.3924852,0.408376
1936 FT,Non-CLL PBMC,0.914828,0.807923,0.485039,0.3988755,0.253298,0.237259,0.376918,0.373057,0,0,0.0452633,0,0,0,0.81178273,1,0.8308224,0.542536,0.5773958,0.540565
2065 FT,Non-CLL PBMC,0.9227225,0.730406667,0.6137855,0.38120125,0.245014,0.195998667,0.51124,0.570631,0,0,0,0,0.06582875,0,0.696684775,0.826568,0.56680155,0.2423933,0.3331938,0.38149
2112 FT,Non-CLL PBMC,0.916419,0.771499667,0.517027,0.38406425,0.241167,0.246168667,0.429148,0.447417,0,0.095373,0.10678788,0.1546027,0.07591,0,0.867038,1,0.734076,0.438484,0.4906364,0.492567
HP 0%,Non-CLL PBMC,0.8824435,0.687581,0.595632,0.39635825,0.222644,0.190368333,0.425908,0.467806,0,0.02331,0,0,0,0,0.79711169,1,0.85848255,0.4199018,0.490768,0.544759
IP 0%,Non-CLL PBMC,0.85234,0.681116667,0.595583,0.4055765,0.274268,0.217369667,0.416307,0.477580333,0,0.0104472,0,0.0007604,0,0,0.97595195,1,0.9519039,0.4135279,0.5110946,0.511286
LP 0%,Non-CLL PBMC,0.866946,0.655752333,0.5954795,0.3894535,0.30899,0.232873,0.409672,0.466927,0,0,0,0,0,0,1,1,1,0.4197575,0.5769702,0.541011
N Neg selected Non-CLL,Non-CLL PBMC,0.8779615,0.731426667,0.566187,0.40482,0.24432,0.223990667,0.397504,0.383953333,0,0.0255726,0.12535,0,0.00095875,0.13740125,1,1,0.84558195,0.6093027,0.4344544,0.465953
O Neg selected Non-CLL,Non-CLL PBMC,0.9295125,0.798001667,0.4750885,0.382459,0.3498625,0.265759333,0.360662,0.366704333,0,0.1335816,0,0.03455435,0.02613375,0.06717875,0.99571937,1,0.9311679,0.4952134,0.424051,0.524503
Q Neg selected Non-CLL,Non-CLL PBMC,0.8684705,0.768416667,0.409842,0.44979525,0.4633075,0.412648333,0.328644,0.304958667,0,0.1094382,0.16073788,0.11411175,0.08465375,0.2190875,1,1,1,0.5262327,0.4898692,0.590844
