"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"U_06_459","AML",0.9463285,0.795274,0.900451,0.470359,0.3646765,0.041024667,0.710856,0.808881667,0,0,0,0,0,0,0.73,0.55,0.67,0.05,0.1,0.07
"U_07_0621","AML",0.916425,0.720656333,0.792371,0.28448125,0.151079,0.079901333,0.644057,0.778219333,0,0,0,0,0.01,0,0.51,0.49,0.4,0.05,0.1,0.08
"U_08_0907","AML",0.9521285,0.682232333,0.6191315,0.7032375,0.3119775,0.206658667,0.735089,0.780151333,0,0,0,0,0,0,0.99,0.62,0.76,0.12,0.1,0.1
"U-02-561","AML",0.9346085,0.740925,0.8434555,0.48441375,0.3150775,0.346204,0.754208,0.822446,0,0.06,0,0,0.05,0,0.24,0.52,0.21,0.19,0.13,0.09
"U-06-1005","AML",0.9310225,0.690762667,0.834752,0.202134,0.0487965,0.055514,0.717879,0.813286333,0,0,0,0,0,0,1,1,1,0.61,0.1,0.14
"U-07-0466","AML",0.9389905,0.762710667,0.828277,0.417675,0.3898295,0.089122,0.708506,0.818210333,0,0.11,0.04,0,0.05,0.03,1,1,0.92,0.28,0.34,0.36
"U-08-0589","AML",0.939417,0.737176,0.7861335,0.173718,0.30527,0.104300333,0.714473,0.767755,0,0.09,0,0.02,0.03,0.02,0.45,0.84,0.36,0.13,0.1,0.08
"U-08-0907","AML",0.935708,0.746098333,0.735087,0.6353935,0.3687615,0.3614305,0.736899,0.783928667,0,0,0,0,0,0,0.76,0.6,0.77,0,0.1,0.11
"U-09-0096","AML",0.9469995,0.7302,0.9442295,0.7266025,0.537832,0.684122667,0.79223,0.819524333,0,0,0,0,0.04,0,0.24,0.87,0.25,0.09,0.1,0.08
"U-13-1316","AML",0.9609985,0.742463333,0.8323135,0.30790375,0.199833,0.102524333,0.679959,0.813096,0,0,0,0,0,0,1,1,1,0,0.1,0.04
"89","HP",0.0487245,0.078557667,0,0.61542925,0.7981245,0.839872333,0.727746,0.743485333,0.95,0.99,1,0.95,0.95,0.95,1,1,1,0.1,0.1,0.09
"90","HP",0.1736495,0.243824333,0.059215,0.60058525,0.4031005,0.730737667,0.513877,0.766169333,0.83,0.79,0.84,0.81,0.86,0.83,1,1,1,0.18,0.1,0.15
"164","HP",0.0743695,0.155917,0.0125445,0.36375675,0.509864,0.842188333,0.769606,0.769806333,0.77,0.89,0.94,0.91,0.95,0.87,1,1,1,0.1,0.1,0.1
"471","HP",0.0545985,0.121899,0.029525,0.598016,0.56458,0.746672667,0.525305,0.657838,0.95,0.99,0.96,0.95,0.95,0.95,1,1,1,0.11,0.1,0.07
"524","HP",0.083495,0.165711,0,0.536521,0.7848245,0.813436333,0.726026,0.822764333,0.95,0.89,0.92,0.87,0.95,0.88,1,1,1,0.13,0.1,0.08
"609","HP",0.154319,0.250828333,0.080482,0.42176125,0.245427,0.613776,0.687057,0.647773333,0.78,0.85,0.86,0.8,0.95,0.84,1,1,1,0.12,0.1,0.14
"633","HP",0.2283995,0.256388333,0.145946,0.3534505,0.53783,0.676698667,0.676708,0.700983667,0.8,0.72,0.73,0.72,0.76,0.73,1,1,1,0.21,0.1,0.21
"640","HP",0.047671,0.323652667,0.0037325,0.56619425,0.74005,0.816468667,0.702943,0.638747,0.72,1,0.93,0.9,0.62,0.81,0.98,1,1,0.01,0.1,0.17
