"","PBMC_43","PBMC_105","PBMC_149","PBMC_160","PBMC_218","PBMC_261"
"TULP4.2_F.2",0.95,0.95,0.94,0.936,0.897,0.959
"ZNF438_F.1",0.959,0.948,0.963,0.955,0.925,0.95
"TM4SF19_F",0.924,0.756,0.824,0.901,0.775,0.896
"RGS12_F",0.492,0.481,0.546,0.538,0.457,0.58
"HOXB3.1_R",0.367,0.417,0.385,0.282,0.432,0.28
"WIT1.1_F",0.027,0.042,0.027,0.031,0.026,0.034
"CD34_F.1",0.439,0.466,0.456,0.472,0.4,0.468
"HIVEP3_R",0.338,0.391,0.381,0.317,0.274,0.456
"HOXB3.2_F.2",0.951,0.944,0.957,0.95,0.933,0.945
"LRPAP1_F",0.965,0.966,0.983,0.928,0.955,0.961
"AK090681_F",0.09,0.097,0.093,0.081,0.085,0.075
"ZNF498_F",0.402,0.386,0.415,0.486,0.534,0.47
"HOXB6.1_F",0.725,0.774,0.706,0.6,0.746,0.688
"PALM.2_F",0.59,0.659,0.653,0.639,0.666,0.726
"ZZEF1_R",0.994,0.982,0.986,0.986,0.99,0.988
"GIMAP7.1_F",0.027,0.043,0.04,0.03,0.034,0.03
"ESRP2_R",0.13,0.226,0.149,0.119,0.115,0.12
"CTTN_R",0.947,0.924,0.948,0.958,0.914,0.935
"DNMT3A_R.1",0.736,0.787,0.772,0.7,0.762,0.794
"CUGBP2_F",0.903,0.858,0.874,0.84,0.814,0.893
"MED13L_R.1",0.954,0.977,0.967,0.943,0.904,0.952
"SKIDA1_F.1",0.931,0.926,0.93,0.946,0.938,0.942
"MEF2B_F",0.047,0.039,0.036,0.035,0.032,0.034
"C15orf52_F.1",0.833,0.755,0.818,0.895,0.824,0.822
"HOXB3.2_F.1",0.924,0.93,0.949,0.931,0.957,0.962
"A4GALT_F.2",0.725,0.724,0.705,0.776,0.771,0.747
"CHML_F",0.515,0.691,0.588,0.556,0.569,0.592
"ACOT7",0.97,0.983,0.983,0.969,0.985,0.954
"PRKAG2_F",0.961,0.909,0.949,0.899,0.902,0.946
"AIM2_F",0.779,0.601,0.744,0.789,0.765,0.716
"MIRLET7BHG_F.1",0.965,0.964,0.978,0.958,0.959,0.936
"REC8_R.1",0.107,0.135,0.139,0.093,0.115,0.109
"BEND7_R.1",0.072,0.174,0.167,0.121,0.102,0.172
"HMGA1_R",0.046,0.127,0.12,0.049,0.07,0.048
"HCCA2_R.1",0.611,0.506,0.557,0.551,0.56,0.538
"HOXB6.2_F.2",0.042,0.047,0.032,0.042,0.047,0.031
"C3orf21._R",0.147,0.456,0.308,0.147,0.152,0.143
"DNMT3A_R.2",0.935,0.925,0.943,0.895,0.905,0.929
"HOXB3.3_R",0.882,0.944,0.927,0.911,0.914,0.914
"ALS2CL_F",0.039,0.04,0.028,0.027,0.026,0.042
"KIAA1949_F",0.016,0.011,0.01,0.005,0.01,0.013
"CD34_F.2",0.268,0.286,0.305,0.248,0.292,0.269
"PALM.1_F.1",0.644,0.606,0.678,0.579,0.605,0.84
