sample.ID,A4GALT_F#2,ACOT7,AK090681_F,ALS2CL_F,BEND7_R#1,C15orf52_F#1,C3orf21 _R,CD34_F#1,CD34_F#2,CHML_F,CTTN_R,CUGBP2_F,DNMT3A_R#1,DNMT3A_R#2,GIMAP7-1_F,HCCA2_R#1,HIVEP3_R,HMGA1_R,HOXB3-1_R,HOXB3-2_F#1,HOXB3-2_F#2,HOXB3-3_R,HOXB6-1_F,HOXB6-2_F#2,KIAA1949_F,LRPAP1_F,MED13L_R#1,MEF2B_F,MIRLET7BHG_F#1,PALM-1_F#1,PALM-2_F,PRKAG2_F,REC8_R#1,RGS12_F,SKIDA1_F#1,TM4SF19_F,TULP4-2_F#2,WIT1-1_F,ZNF438_F#1,ZNF498_F,ZZEF1_R,AIM2_F,ESRP2_R,Epitype.Color2
16-00004,0.846,0.963,0.048,0.074,0.67,0.771,0.111,0.166,0.086,0.843,0.953,0.963,0.922,0.955,0.018,0.765,0.713,0.634,0.42,0.963,0.9,0.798,0.418,0.107,0.01,0.961,0.964,0.626,0.882,0.809,0.855,0.977,0.225,0.809,0.953,0.941,0.971,0.478,0.969,0.662,0.981,0.771,0.501,gray
16-01005,0.775,0.97,0.32,0.028,0.368,0.71,0.109,0.19,0.069,0.857,0.9,0.364,0.824,0.93,0.012,0.777,0.078,0.488,0.236,0.803,0.724,0.713,0.268,0.141,0.011,0.949,0.977,0.235,0.885,0.756,0.721,0.95,0.048,0.787,0.917,0.881,0.937,0.039,0.964,0.704,0.988,0.727,0.179,gray
13-00163,0.198,0.954,0.025,0.023,0.02,0.079,0.354,0.177,0.052,0.828,0.076,0.949,0.14,0.337,0.832,0.826,0.858,0.05,0.799,0.967,0.911,0.83,0.857,0.085,0.014,0.076,0.954,0.018,0.909,0.117,0.129,0.552,0.046,0.048,0.922,0.101,0.944,0.727,0.941,0.031,0.977,0.68,0.075,green
15-00616,0.828,0.984,0.695,0.563,0.093,0.825,0.103,0.108,0.048,0.769,0.794,0.922,0.831,0.968,0.017,0.543,0.088,0.086,0.076,0.955,0.896,0.843,0.208,0.075,0.009,0.931,0.975,0.567,0.91,0.499,0.475,0.935,0.033,0.412,0.95,0.876,0.444,0.071,0.698,0.518,0.991,0.805,0.616,gray
16-01098,0.205,0.948,0.636,0.025,0.009,0.844,0.766,0.799,0.599,0.807,0.095,0.103,0.712,0.84,0.573,0.091,0.413,0.063,0.05,0.087,0.096,0.06,0.056,0.114,0.008,0.876,0.946,0.013,0.074,0.059,0.05,0.968,0.04,0.035,0.531,0.556,0.922,0.658,0.966,0.111,0.971,0.065,0.414,red
13-00204,0.292,0.989,0.3,0.025,0.053,0.353,0.866,0.81,0.737,0.85,0.22,0.94,0.069,0.219,0.819,0.068,0.639,0.134,0.034,0.512,0.54,0.815,0.487,0.085,0.804,0.091,0.968,0.019,0.915,0.25,0.227,0.121,0.714,0.074,0.378,0.179,0.925,0.677,0.997,0.041,0.995,0.06,0.729,forestgreen
13-00245,0.253,0.171,0.263,0.019,0.016,0.534,0.813,0.355,0.185,0.715,0.558,0.955,0.447,0.544,0.766,0.066,0.736,0.04,0.07,0.983,0.853,0.81,0.483,0.058,0.009,0.097,0.955,0.027,0.885,0.405,0.277,0.4,0.488,0.064,0.532,0.258,0.599,0.274,0.848,0.067,0.121,0.5,0.094,cyan
13-00544,0.506,0.938,0.178,0.033,0.026,0.804,0.093,0.067,0.04,0.804,0.501,0.795,0.707,0.918,0.031,0.216,0.061,0.149,0.065,0.935,0.802,0.738,0.264,0.074,0.009,0.334,0.956,0.39,0.343,0.334,0.259,0.915,0.032,0.337,0.873,0.876,0.902,0.076,0.924,0.317,0.979,0.607,0.536,gray
13-00146,0.269,0.094,0.144,0.015,0.018,0.383,0.844,0.411,0.174,0.879,0.941,0.963,0.762,0.856,0.825,0.065,0.828,0.05,0.068,0.963,0.511,0.814,0.874,0.058,0.005,0.059,0.98,0.024,0.899,0.168,0.098,0.126,0.423,0.024,0.969,0.954,0.591,0.057,0.906,0.023,0.07,0.865,0.054,cyan
16-00494,0.17,0.946,0.097,0.007,0.068,0.725,0.449,0.466,0.368,0.052,0.382,0.166,0.015,0.18,0.101,0.028,0.068,0.172,0.161,0.923,0.83,0.741,0.562,0.065,0.007,0.957,0.511,0.011,0.317,0.396,0.279,0.399,0.035,0.014,0.573,0.169,0.843,0.326,0.17,0.704,0.787,0.057,0.094,mediumorchid2
15-00248,0.31,0.835,0.625,0.013,0.009,0.835,0.839,0.055,0.022,0.767,0.553,0.978,0.759,0.948,0.761,0.05,0.882,0.485,0.428,0.971,0.867,0.801,0.895,0.05,0.014,0.068,0.892,0.796,0.92,0.525,0.419,0.938,0.702,0.044,0.932,0.822,0.079,0.332,0.967,0.025,0.988,0.912,0.477,royalblue
16-00410,0.329,0.983,0.209,0.029,0.079,0.317,0.903,0.925,0.839,0.905,0.588,0.538,0.028,0.107,0.535,0.044,0.283,0.597,0.039,0.933,0.88,0.743,0.378,0.064,0.796,0.06,0.904,0.043,0.872,0.852,0.905,0.092,0.412,0.046,0.548,0.269,0.944,0.776,0.968,0.028,0.992,0.154,0.191,forestgreen
12-00301,0.429,0.968,0.309,0.016,0.014,0.072,0.864,0.123,0.041,0.808,0.081,0.962,0.269,0.414,0.314,0.673,0.766,0.074,0.464,0.968,0.889,0.835,0.421,0.06,0.005,0.046,0.934,0.118,0.876,0.089,0.068,0.749,0.151,0.038,0.929,0.079,0.91,0.85,0.777,0.033,0.982,0.917,0.062,green
12-00127,0.69,0.973,0.94,0.956,0.362,0.912,0.899,0.982,0.901,0.959,0.44,0.11,0.942,0.96,0.949,0.895,0.95,0.938,0.488,0.956,0.712,0.714,0.054,0.924,0.014,0.927,0.947,0.948,0.924,0.92,0.95,0.952,0.87,0.906,0.914,0.958,0.956,0.868,0.968,0.936,0.983,0.914,0.923,khaki3
16-00474,0.168,0.066,0.386,0.037,0.013,0.41,0.513,0.195,0.028,0.937,0.936,0.973,0.875,0.945,0.882,0.037,0.363,0.07,0.065,0.967,0.894,0.825,0.938,0.063,0.003,0.028,0.932,0.012,0.879,0.136,0.077,0.347,0.601,0.027,0.944,0.453,0.39,0.029,0.933,0.38,0.032,0.943,0.138,cyan
14-00126,0.876,0.985,0.024,0.037,0.019,0.892,0.037,0.127,0.045,0.667,0.859,0.849,0.36,0.848,0.021,0.478,0.103,0.063,0.08,0.962,0.854,0.782,0.355,0.067,0.012,0.818,0.917,0.023,0.887,0.539,0.621,0.857,0.03,0.642,0.921,0.759,0.869,0.02,0.969,0.678,0.984,0.395,0.063,gray
15-00734,0.19,0.95,0.744,0.019,0.019,0.866,0.649,0.92,0.821,0.715,0.036,0.196,0.453,0.783,0.899,0.041,0.813,0.07,0.049,0.178,0.096,0.063,0.096,0.647,0.009,0.938,0.875,0.149,0.028,0.09,0.087,0.946,0.779,0.128,0.725,0.796,0.711,0.76,0.969,0.024,0.985,0.025,0.802,yellow
